"";"Onderwerp";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing"
"";"Regiokenmerken";"Nederland";"Nederland";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Matig stedelijk";"Matig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Niet stedelijk";"Niet stedelijk";"Nederland";"Nederland";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Matig stedelijk";"Matig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Niet stedelijk";"Niet stedelijk"
"";"Perioden";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023"
"Verplaatsingskenmerken";"Reismotieven";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten"
"Verplaatsing op maandag";"Van en naar het werk";"19,86";"18,66";"18,18";"16,39";"19,74";"19,45";"21,02";"18,73";"20,71";"18,83";"20,57";"22,73";"30,55";"29,64";"32,37";"31,54";"30,98";"29,94";"30,82";"28,80";"29,22";"27,83";"26,50";"29,26"
"Verplaatsing op maandag";"Zakelijk, beroepsmatig";"30,77";"26,22";"30,93";"25,16";"30,06";"23,08";"31,03";"33,00";"31,89";"27,32";".";".";"35,86";"33,43";"39,15";"35,20";"35,34";"31,89";"33,41";"37,16";"35,94";"32,46";".";"."
"Verplaatsing op maandag";"Winkelen, boodschappen doen";"4,71";"4,63";"3,22";"3,43";"3,92";"4,26";".";"5,31";"5,17";"5,78";"7,48";"6,01";"13,70";"13,79";"13,73";"14,08";"13,19";"13,13";"14,74";"14,07";"13,01";"14,70";"15,30";"12,02"
"Verplaatsing op maandag";"Visite, logeren";"16,86";"17,53";"18,08";"23,27";"20,45";"16,12";"9,81";"13,98";"16,96";"16,70";".";".";"26,96";"27,57";"32,66";"37,88";"30,39";"26,21";"17,98";"20,97";"24,64";"25,32";".";"24,84"
"Verplaatsing op maandag";"Uitgaan, sport, hobby";"10,89";"10,77";"7,97";"8,62";"10,21";"10,10";"10,08";"11,20";"13,96";"12,37";".";"15,80";"26,82";"26,52";"27,14";"28,24";"26,18";"26,00";"25,70";"27,01";"26,30";"24,56";".";"26,88"
"Verplaatsing op maandag";"Toeren, wandelen";"6,68";"6,01";"6,43";"6,04";"6,53";"6,17";"7,33";"5,80";"6,93";"5,96";"5,65";"5,87";"57,13";"54,30";"64,94";"65,52";"57,07";"50,63";"49,52";"53,24";"57,23";"50,97";"53,87";"53,71"
"Verplaatsing op dinsdag";"Totaal";"13,12";"11,37";"11,30";"9,80";"13,53";"11,20";"12,88";"12,21";"14,27";"11,86";"14,36";"14,00";"26,85";"26,28";"27,92";"27,55";"26,71";"26,24";"25,73";"26,06";"26,80";"24,77";"26,60";"27,21"
"Verplaatsing op dinsdag";"Van en naar het werk";"21,06";"19,69";"18,78";"16,86";"21,58";"21,35";"22,41";"19,37";"20,62";"20,05";"24,62";"22,54";"31,39";"30,75";"33,86";"32,52";"32,23";"32,51";"30,56";"29,26";"28,75";"28,28";"29,48";"28,55"
"Verplaatsing op dinsdag";"Zakelijk, beroepsmatig";"33,82";"26,18";"26,72";"24,21";"36,29";"26,62";"25,39";"28,50";"42,47";"28,07";".";".";"40,16";"35,88";"41,30";"37,14";"40,55";"34,48";"33,53";"37,12";"44,46";"36,61";".";"."
"Verplaatsing op dinsdag";"Winkelen, boodschappen doen";"4,79";"4,77";"3,62";"3,05";"5,01";"4,68";"4,71";"6,05";"5,82";"5,91";"5,45";"5,82";"13,67";"14,55";"14,24";"14,65";"14,05";"14,30";"12,78";"15,05";"13,37";"14,65";"12,44";"13,75"
"Verplaatsing op dinsdag";"Visite, logeren";"15,89";"16,49";"15,96";"18,80";"19,02";"15,40";"17,17";"16,29";"11,76";"14,87";"14,15";".";"26,64";"26,94";"30,16";"32,00";"29,40";"26,81";"25,62";"26,60";"21,44";"22,29";"25,01";"30,09"
"Verplaatsing op dinsdag";"Uitgaan, sport, hobby";"9,97";"9,05";"9,54";"6,90";"9,63";"9,20";"9,61";"10,65";"10,40";"8,81";".";"12,72";"26,48";"25,93";"29,11";"26,84";"26,62";"27,13";"24,92";"26,02";"24,10";"22,99";"27,66";"26,35"
"Verplaatsing op dinsdag";"Toeren, wandelen";"8,62";"5,95";"7,20";"5,62";".";"5,51";"7,96";"5,98";"8,87";"7,16";"7,14";"5,14";"63,01";"53,08";"72,23";"61,75";"57,95";"48,87";"62,59";"54,32";"66,90";"52,23";"53,78";"48,10"
"Verplaatsing op woensdag";"Totaal";"12,23";"11,24";"11,74";"10,02";"11,51";"11,27";"12,67";"11,40";"12,80";"11,90";"13,87";"13,01";"25,85";"25,78";"28,43";"27,58";"25,25";"25,76";"26,25";"24,73";"24,04";"24,97";"24,76";"24,41"
"Verplaatsing op woensdag";"Van en naar het werk";"18,97";"19,06";"18,17";"17,73";"18,09";"19,95";"19,73";"17,90";"19,61";"19,74";"21,32";"20,40";"29,89";"30,33";"33,15";"33,56";"30,35";"31,03";"29,74";"27,52";"27,10";"29,09";"26,69";"26,72"
