"Mobiliteit: per verplaatsing, verplaatsingskenmerken, motieven, regio's"
"Populatie: Populatie: 6 jaar of ouder"
"Marges: Waarde"
"";""
"";"Onderwerp";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing"
"Totaal ";"Toeren, wandelen";"9,52";"7,69";"7,88";"7,32";"10,25";"7,47";"7,81";"6,74";"8,78";"8,03";"7,42";"7,05";"9,67";"7,34";"7,46";"7,06";"9,51";"7,37";"8,36";"7,58";"9,79";"8,11";"8,22";"7,56";"10,03";"7,70";"8,86";"7,79";"69,25";"60,28";"61,70";"59,09";"76,41";"64,46";"66,95";"63,45";"77,48";"70,20";"68,85";"67,73";"67,13";"58,27";"59,21";"56,30";"64,53";"58,42";"59,88";"58,04";"69,06";"57,72";"59,38";"56,06";"67,21";"54,90";"60,79";"57,22"
"Verplaatsing op zondag";"Totaal";"18,33";"13,74";"14,35";"14,63";"17,16";"13,19";"14,53";"12,96";"17,31";"13,53";"14,62";"14,97";"19,10";"13,17";"14,81";"14,26";"17,27";"14,65";"13,73";"14,88";"17,47";"13,23";"13,62";"14,80";"23,17";"16,30";"15,20";"13,95";"36,66";"36,00";"38,15";"35,53";"41,56";"35,32";"41,28";"35,41";"40,27";"38,20";"41,56";"38,15";"35,08";"34,38";"36,67";"35,10";"35,31";"35,41";"37,97";"36,44";"33,60";"35,69";"35,31";"33,47";"43,14";"37,71";"42,33";"32,45"
"Verplaatsing op zondag";"Van en naar het werk";"15,43";"13,16";"13,41";"13,24";"15,79";"12,93";"13,34";"13,83";"13,77";"9,95";"13,83";"12,07";"16,27";"13,42";"11,76";"15,85";"14,94";"14,32";"10,92";"15,28";"13,62";"12,98";"15,98";"10,78";".";".";".";".";"26,07";"24,86";"23,46";"24,29";"32,09";"25,08";"24,41";"28,08";"27,23";"31,07";"29,70";"26,80";"25,85";"22,96";"20,22";"24,89";"28,72";"24,76";"19,44";"26,07";"23,09";"20,59";"23,12";"21,84";".";".";".";"."
"Verplaatsing op zondag";"Zakelijk, beroepsmatig";".";"18,09";"23,27";"18,73";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"40,53";"36,16";"31,69";"25,81";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Verplaatsing op zondag";"Winkelen, boodschappen doen";"7,55";"5,81";"5,28";"6,30";"5,95";"6,92";"4,50";"4,95";"4,70";"3,83";"4,04";"4,11";"7,78";"6,44";"5,57";"6,08";"9,01";"6,84";"5,62";"6,70";"10,12";"7,19";"6,13";"8,57";"14,51";"7,25";".";"12,99";"16,95";"14,28";"15,43";"15,28";"16,09";"17,14";"15,83";"14,91";"16,00";"14,38";"17,39";"14,21";"16,01";"14,63";"14,39";"14,76";"20,57";"12,91";"16,02";"16,42";"16,71";"13,53";"13,45";"15,12";"22,01";"17,50";".";"22,92"
"Verplaatsing op zondag";"Onderwijs volgen, cursus, kinderopvang";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"25,30";".";".";"25,04";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Verplaatsing op zondag";"Visite, logeren";"28,19";"22,12";"21,79";"24,20";"31,47";"20,19";"26,81";"25,06";"32,18";"28,53";"26,90";"29,96";"31,44";"22,71";"25,44";"24,72";"22,85";"20,55";"18,09";"20,14";"24,83";"18,86";"17,32";"22,79";"27,48";"17,22";"16,70";"18,97";"33,98";"29,61";"29,40";"31,75";"41,84";"29,75";"35,86";"32,51";"42,93";"38,64";"36,32";"39,23";"34,69";"29,83";"32,00";"31,68";"29,65";"26,94";"26,98";"27,73";"29,38";"25,33";"23,88";"29,67";"32,78";"24,83";"24,43";"25,52"
"Verplaatsing op zondag";"Uitgaan, sport, hobby";"17,67";"14,46";"16,40";"15,07";"18,39";"15,65";"18,59";"12,37";"17,35";"13,73";"17,17";"16,23";"18,75";"13,46";"15,39";"14,42";"18,92";"14,52";"18,71";"15,77";"15,75";"13,71";"15,06";"14,57";"17,77";"22,47";"16,78";"14,14";"33,45";"37,27";"40,59";"35,19";"38,66";"40,62";"49,89";"38,07";"37,96";"40,56";"45,35";"40,70";"35,02";"35,60";"38,59";"34,69";"31,72";"36,40";"41,89";"36,40";"27,92";"35,67";"36,33";"30,54";"34,65";"39,78";"42,88";"32,18"
"Verplaatsing op zondag";"Toeren, wandelen";"14,50";"10,21";"10,69";"10,28";"12,94";"8,12";"10,26";"8,34";"14,03";"10,18";"9,98";"9,48";"14,26";"9,11";"10,27";"9,97";"12,57";"10,49";"10,49";"12,02";"15,95";"10,06";"11,26";"10,07";"16,13";"14,06";"12,57";"10,16";"92,44";"71,80";"74,36";"72,64";"112,33";"64,13";"81,07";"74,26";"104,19";"82,21";"83,47";"86,11";"88,34";"67,69";"71,85";"70,12";"83,29";"70,78";"71,81";"72,38";"88,49";"68,99";"69,27";"66,36";"100,73";"72,66";"79,43";"67,86"
"Verplaatsing op maandag";"Totaal";"12,41";"9,76";"9,97";"10,41";"12,67";"8,98";"9,09";"10,20";"10,97";"8,15";"8,75";"9,06";"12,34";"9,95";"9,45";"10,17";"12,39";"9,25";"10,74";"10,51";"13,21";"10,54";"10,77";"11,11";"15,06";"12,67";"11,94";"13,87";"25,64";"25,07";"26,51";"25,13";"28,92";"26,72";"26,56";"27,22";"27,00";"26,12";"27,96";"27,52";"25,53";"25,20";"25,84";"24,09";"24,34";"23,41";"24,66";"24,36";"24,94";"24,52";"27,69";"24,10";"26,86";"26,45";"25,01";"26,21"
