"Gebieden in Nederland 2022"
""
"";"Onderwerp"
"";"Grootte en stedelijkheid van gemeenten|Stedelijkheid|Code";"Grootte en stedelijkheid van gemeenten|Stedelijkheid|Omschrijving";"Statistische gegevens|Omgevingsadressendichtheid"
"Regio's";"code";"omschrijving";"per km2"
"Hattem";"4";"Weinigstedelijk";"849"
"Heemskerk";"2";"Sterkstedelijk";"2352"
"Heemstede";"2";"Sterkstedelijk";"1782"
"Heerde";"4";"Weinigstedelijk";"625"
"Heerenveen";"3";"Matigstedelijk";"1092"
"Heerlen";"2";"Sterkstedelijk";"1830"
"Heeze-Leende";"4";"Weinigstedelijk";"585"
"Heiloo";"3";"Matigstedelijk";"1376"
"Den Helder";"2";"Sterkstedelijk";"1692"
"Hellendoorn";"4";"Weinigstedelijk";"825"
"Hellevoetsluis";"2";"Sterkstedelijk";"1528"
"Helmond";"2";"Sterkstedelijk";"1811"
"Hendrik-Ido-Ambacht";"2";"Sterkstedelijk";"1862"
"Hengelo (O.)";"2";"Sterkstedelijk";"1860"
"'s-Hertogenbosch";"2";"Sterkstedelijk";"1998"
"Heumen";"4";"Weinigstedelijk";"797"
"Heusden";"3";"Matigstedelijk";"1108"
"Hillegom";"2";"Sterkstedelijk";"1580"
"Hilvarenbeek";"4";"Weinigstedelijk";"593"
"Hilversum";"1";"Zeersterkstedelijk";"2781"
"Hoeksche Waard";"4";"Weinigstedelijk";"834"
"Hof van Twente";"4";"Weinigstedelijk";"608"
"Het Hogeland";"5";"Nietstedelijk";"415"
"Hollands Kroon";"5";"Nietstedelijk";"439"
"Hoogeveen";"3";"Matigstedelijk";"1222"
"Hoorn";"2";"Sterkstedelijk";"1709"
"Horst aan de Maas";"4";"Weinigstedelijk";"576"
"Houten";"2";"Sterkstedelijk";"1563"
"Huizen";"2";"Sterkstedelijk";"2048"
"Hulst";"4";"Weinigstedelijk";"513"
"IJsselstein";"2";"Sterkstedelijk";"1869"
"Kaag en Braassem";"4";"Weinigstedelijk";"655"
"Kampen";"3";"Matigstedelijk";"1480"
"Kapelle";"4";"Weinigstedelijk";"656"
"Katwijk";"2";"Sterkstedelijk";"2173"
"Kerkrade";"2";"Sterkstedelijk";"1757"
"Koggenland";"5";"Nietstedelijk";"435"
"Krimpen aan den IJssel";"2";"Sterkstedelijk";"1967"
"Krimpenerwaard";"4";"Weinigstedelijk";"789"
"Laarbeek";"4";"Weinigstedelijk";"652"
"Land van Cuijk";"4";"Weinigstedelijk";"638"
"Landgraaf";"3";"Matigstedelijk";"1456"
"Landsmeer";"3";"Matigstedelijk";"1038"
"Lansingerland";"3";"Matigstedelijk";"1342"
"Laren (NH.)";"3";"Matigstedelijk";"1108"
"Leeuwarden";"2";"Sterkstedelijk";"2173"
"Leiden";"1";"Zeersterkstedelijk";"3848"
"Leiderdorp";"1";"Zeersterkstedelijk";"2522"
"Leidschendam-Voorburg";"1";"Zeersterkstedelijk";"2949"
"Lelystad";"3";"Matigstedelijk";"1397"
"Leudal";"5";"Nietstedelijk";"394"
"Leusden";"3";"Matigstedelijk";"1276"
"Lingewaard";"4";"Weinigstedelijk";"968"
"Lisse";"2";"Sterkstedelijk";"1652"
"Lochem";"4";"Weinigstedelijk";"601"
"Loon op Zand";"3";"Matigstedelijk";"1065"
"Lopik";"5";"Nietstedelijk";"371"
"Losser";"4";"Weinigstedelijk";"754"
"Maasdriel";"5";"Nietstedelijk";"484"
"Maasgouw";"5";"Nietstedelijk";"444"
"Maashorst";"3";"Matigstedelijk";"1176"
"Maassluis";"2";"Sterkstedelijk";"2053"
"Maastricht";"1";"Zeersterkstedelijk";"2549"
"Medemblik";"4";"Weinigstedelijk";"527"
"Meerssen";"4";"Weinigstedelijk";"618"
"Meierijstad";"3";"Matigstedelijk";"1006"
"Meppel";"3";"Matigstedelijk";"1290"
"Middelburg (Z.)";"2";"Sterkstedelijk";"1755"
"Midden-Delfland";"3";"Matigstedelijk";"1343"
"Midden-Drenthe";"5";"Nietstedelijk";"408"
"Midden-Groningen";"4";"Weinigstedelijk";"867"
"Moerdijk";"4";"Weinigstedelijk";"747"
"Molenlanden";"5";"Nietstedelijk";"398"
"Montferland";"4";"Weinigstedelijk";"767"
"Montfoort";"4";"Weinigstedelijk";"753"
"Mook en Middelaar";"5";"Nietstedelijk";"435"
"Neder-Betuwe";"5";"Nietstedelijk";"448"
"Nederweert";"4";"Weinigstedelijk";"648"
"Nieuwegein";"2";"Sterkstedelijk";"1950"
"Nieuwkoop";"4";"Weinigstedelijk";"505"
"Nijkerk";"3";"Matigstedelijk";"1130"
"Nijmegen";"2";"Sterkstedelijk";"2410"
"Nissewaard";"2";"Sterkstedelijk";"2061"
"Noardeast-Fryslân";"5";"Nietstedelijk";"467"
"Noord-Beveland";"5";"Nietstedelijk";"241"
"Noordenveld";"4";"Weinigstedelijk";"687"
"Noordoostpolder";"4";"Weinigstedelijk";"735"
"Noordwijk";"3";"Matigstedelijk";"1425"
"Nuenen, Gerwen en Nederwetten";"3";"Matigstedelijk";"1120"
"Nunspeet";"4";"Weinigstedelijk";"806"
"Oegstgeest";"2";"Sterkstedelijk";"1772"
"Oirschot";"4";"Weinigstedelijk";"626"
"Oisterwijk";"4";"Weinigstedelijk";"935"
"Oldambt";"4";"Weinigstedelijk";"831"
"Oldebroek";"4";"Weinigstedelijk";"657"
"Oldenzaal";"3";"Matigstedelijk";"1484"
"Olst-Wijhe";"5";"Nietstedelijk";"476"
"Ommen";"4";"Weinigstedelijk";"515"
"Oost Gelre";"4";"Weinigstedelijk";"739"
"Oosterhout";"2";"Sterkstedelijk";"1553"
"Ooststellingwerf";"5";"Nietstedelijk";"481"
"Oostzaan";"3";"Matigstedelijk";"1064"
"Opmeer";"4";"Weinigstedelijk";"539"
"Opsterland";"5";"Nietstedelijk";"421"
"Oss";"3";"Matigstedelijk";"1424"
"Oude IJsselstreek";"4";"Weinigstedelijk";"653"
"Ouder-Amstel";"3";"Matigstedelijk";"1330"
"Oudewater";"4";"Weinigstedelijk";"845"
"Overbetuwe";"4";"Weinigstedelijk";"813"
"Papendrecht";"2";"Sterkstedelijk";"1918"
"Peel en Maas";"4";"Weinigstedelijk";"589"
"Pekela";"4";"Weinigstedelijk";"534"
"Pijnacker-Nootdorp";"2";"Sterkstedelijk";"1563"
"Purmerend";"2";"Sterkstedelijk";"2134"
"Putten";"4";"Weinigstedelijk";"921"
"Raalte";"4";"Weinigstedelijk";"667"
"Reimerswaal";"4";"Weinigstedelijk";"521"
"Renkum";"4";"Weinigstedelijk";"922"
"Renswoude";"4";"Weinigstedelijk";"529"
"Reusel-De Mierden";"4";"Weinigstedelijk";"574"
"Rheden";"3";"Matigstedelijk";"1463"
"Rhenen";"4";"Weinigstedelijk";"930"
"Ridderkerk";"2";"Sterkstedelijk";"1749"
"Rijssen-Holten";"3";"Matigstedelijk";"1097"
"Rijswijk (ZH.)";"1";"Zeersterkstedelijk";"3208"
"Roerdalen";"5";"Nietstedelijk";"390"
"Roermond";"2";"Sterkstedelijk";"1583"
"De Ronde Venen";"4";"Weinigstedelijk";"886"
"Roosendaal";"2";"Sterkstedelijk";"1756"
"Rotterdam";"1";"Zeersterkstedelijk";"4022"
"Rozendaal";"4";"Weinigstedelijk";"948"
"Rucphen";"4";"Weinigstedelijk";"677"
"Schagen";"4";"Weinigstedelijk";"749"
"Scherpenzeel";"4";"Weinigstedelijk";"948"
"Schiedam";"1";"Zeersterkstedelijk";"3338"
"Schiermonnikoog";"5";"Nietstedelijk";"321"
